date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-06-04,26.9,27.2,27.65,26.44,35230000.0,2760.0,7285.5,1278.18,,8295.63,15988.4,737.24,18185.59,2308.55,83.98,164.65,26.12,82.56,214.57,289.58,28.55,-0.1546748216663088
2012-06-05,25.87,26.7,27.76,25.75,42470000.0,2778.1,7338.6,1285.5,,8382.0,16020.64,746.09,18259.03,2311.92,84.29,165.4,24.68,82.83,213.21,285.48,28.5,-0.435421054251492
2012-06-06,26.81,26.07,27.17,25.52,61490000.0,2844.7,7517.5,1315.13,5384.11,8533.53,16454.3,765.17,18520.53,2309.55,85.02,165.69,22.16,82.32,217.64,290.57,29.35,0.21745404849449795
2012-06-07,26.31,27.0,27.35,26.15,26170000.0,2831.0,7519.8,1314.99,5447.79,8639.72,16649.05,760.34,18678.29,2293.13,84.82,161.14,21.72,82.05,218.8,289.4,29.23,
2012-06-08,27.1,26.55,27.76,26.44,38030000.0,2858.4,7553.8,1325.66,5435.08,8459.26,16718.87,769.18,18502.34,2281.45,84.1,162.1,21.23,82.51,218.48,290.51,29.65,-0.1807649793724219
2012-06-11,27.0,27.18,28.07,26.84,28230000.0,2809.7,7459.3,1308.93,5432.37,8624.9,16668.01,751.01,18953.63,2305.86,82.7,159.4,23.56,82.52,216.5,284.53,28.89,-0.06621602612237136
2012-06-12,27.4,27.48,27.77,26.96,15820000.0,2843.1,7557.8,1324.18,5473.74,8536.72,16862.8,761.53,18872.56,2289.79,83.32,162.55,22.09,82.42,216.42,282.82,29.29,-0.8129461109638214
2012-06-13,27.27,27.66,28.1,27.1,17120000.0,2818.6,7506.4,1314.88,5483.81,8587.84,16880.51,752.38,19026.52,2318.92,82.62,162.57,24.27,82.06,214.73,280.82,29.13,-0.2094995230436325
2012-06-14,28.29,27.65,28.32,27.38,16850000.0,2836.3,7582.8,1329.1,5467.05,8568.89,16677.88,762.34,18808.4,2295.95,83.91,163.69,21.68,81.99,214.45,279.8,29.34,0.04518429785966873
2012-06-15,30.01,28.5,30.1,28.35,43560000.0,2872.8,7664.3,1342.84,5478.81,8569.32,16949.83,771.32,19233.94,2306.85,84.03,164.09,21.11,81.63,218.35,282.53,30.02,-0.06266220808029174
2012-06-18,31.41,29.95,32.08,29.41,42980000.0,2895.3,7662.3,1344.78,5491.09,8721.02,16705.83,772.53,19427.81,2316.05,83.27,167.1,18.32,81.95,222.66,285.7,29.84,0.5012267611920833
2012-06-19,31.91,31.54,32.18,30.7,30850000.0,2929.8,7766.3,1357.98,5586.31,8655.87,16859.8,786.43,19416.67,2300.8,84.03,167.71,18.38,81.38,224.03,291.05,30.7,0.35318216122686863
2012-06-20,31.6,31.92,31.93,31.15,15560000.0,2930.4,7757.9,1355.69,5622.29,8752.31,16896.63,784.05,19518.85,2292.88,81.8,166.19,17.24,81.58,223.02,289.04,30.93,-0.1925600661585728
2012-06-21,31.84,31.67,32.5,31.51,21880000.0,2859.1,7566.1,1325.51,5566.36,8824.07,17032.56,764.83,19265.07,2260.88,78.2,157.04,20.08,82.29,220.57,282.88,30.14,0.13617466297000647
2012-06-22,33.05,32.41,33.45,32.06,74830000.0,2892.4,7616.6,1335.02,5513.69,8798.35,16972.51,775.12,18995.13,,79.76,156.29,18.11,82.26,222.16,286.02,30.7,0.4247059524059296
2012-06-25,32.06,32.86,33.02,31.55,24350000.0,2836.2,7491.9,1313.72,5450.65,8734.62,16882.16,761.9,18897.45,2224.11,79.21,157.56,20.38,82.5,220.07,280.62,29.86,0.06157602369785309
2012-06-26,33.1,32.69,33.44,32.5,24860000.0,2854.1,7527.1,1319.99,5446.96,8663.99,16906.58,765.02,18981.84,2222.07,79.36,155.56,19.72,82.37,225.61,282.61,30.02,0.4825722724199295
2012-06-27,32.23,32.46,32.9,31.9,28600000.0,2875.3,7598.0,1331.85,5523.92,8730.49,16967.76,776.24,19176.95,2216.93,80.21,155.45,19.45,82.62,225.62,284.93,30.17,0.2030934045712153
2012-06-28,31.36,31.96,32.19,30.9,17710000.0,2849.5,7597.5,1329.04,5493.06,8874.11,16990.76,775.89,19025.27,2195.84,77.69,152.45,19.71,82.81,221.31,282.43,29.91,-0.01305436591307322
2012-06-29,31.09,31.92,31.99,30.76,19530000.0,2935.1,7801.8,1362.16,5571.15,9006.78,17429.98,798.49,19441.46,2225.43,84.96,157.54,17.08,81.63,228.35,290.32,30.59,-0.4383348822593689
2012-07-02,30.77,31.25,31.73,30.55,14130000.0,2951.2,7832.2,1365.51,5640.64,9003.48,17398.98,807.94,,2226.11,83.75,157.71,16.74,81.87,229.32,290.52,30.56,-0.3939499435946345
2012-07-03,31.2,30.91,31.44,30.8,8770000.0,2976.1,7901.7,1374.02,5687.73,9066.59,17425.71,818.49,19735.53,2229.19,87.66,163.59,16.66,81.78,229.53,294.2,30.76,0.0842774969836076
2012-07-05,31.47,31.32,31.62,31.02,10040000.0,2976.1,7837.8,1367.58,5692.63,9079.8,17538.67,817.43,19809.13,2201.35,87.22,161.94,17.5,82.81,227.06,298.25,30.7,0.7473660111427307
2012-07-06,31.73,31.44,31.9,31.26,10950000.0,2937.3,7756.6,1354.68,5662.63,9020.75,17521.12,807.14,19800.64,2223.58,84.45,157.41,17.1,83.38,225.05,293.27,30.18,0.468476690351963
2012-07-09,32.17,32.1,32.88,31.99,17790000.0,2931.8,7736.3,1352.46,5627.33,8896.88,17391.98,804.8,19428.09,2170.81,85.99,156.31,17.98,83.16,225.05,293.29,30.0,-0.28280249424278736
2012-07-10,31.47,32.43,32.48,31.16,14280000.0,2902.3,7667.6,1341.47,5664.07,8857.73,17618.35,795.17,19396.36,2164.44,83.91,151.18,18.72,83.4,219.5,291.13,29.74,-0.33890005946159363
2012-07-11,30.97,31.48,31.56,30.55,13030000.0,2888.0,7685.4,1341.45,5664.48,8851.0,17489.14,792.26,19419.87,2175.38,85.81,148.53,17.95,83.57,218.37,285.87,29.3,0.039244495332241065
2012-07-12,30.81,30.7,31.4,30.6,11310000.0,2866.2,7638.6,1334.76,5608.25,8720.01,17232.55,789.62,19025.11,2185.49,86.08,147.88,18.33,83.66,215.36,285.52,28.63,
2012-07-13,30.72,31.04,31.07,30.56,8119999.999999999,2908.5,7758.7,1356.78,5666.13,8724.12,17213.7,800.99,19092.63,2185.89,87.1,150.22,16.74,83.35,218.39,288.54,29.39,
