,Article_Date,Sentiment_Score
0,2012-02-02,0.058063680838261335
1,2012-02-03,0.07473306198205266
2,2012-02-04,0.1571732461452484
3,2012-02-07,0.04036429151892662
4,2012-02-09,-0.18840249379475912
5,2012-02-13,-0.929577112197876
6,2012-02-14,-0.0017293710261583328
7,2012-02-15,-0.09588058292865753
8,2012-02-16,-0.8999468088150024
9,2012-02-17,0.3673388995230198
10,2012-02-21,0.44578054174780846
11,2012-02-22,-0.019932597875595093
12,2012-02-24,-0.20553197090824446
13,2012-02-27,0.5963533520698547
14,2012-02-28,0.3014965355396271
15,2012-02-29,0.05040163919329643
16,2012-03-01,0.6462885290384293
17,2012-03-02,0.013235548511147499
18,2012-03-05,0.45815978944301605
19,2012-03-07,-0.022777408361434937
20,2012-03-08,0.3615153543651104
21,2012-03-09,0.472224585711956
22,2012-03-11,0.7792441844940186
23,2012-03-12,-0.4035032272338867
24,2012-03-13,-0.28089044988155365
25,2012-03-15,0.14871777687221766
26,2012-03-16,-0.5882469713687897
27,2012-03-19,-0.4286203123629093
28,2012-03-20,-0.18809655401855707
29,2012-03-21,-0.07998573035001755
30,2012-03-22,-0.07010641694068909
31,2012-03-23,0.7792897522449493
32,2012-03-26,-0.28796815872192383
33,2012-03-27,-0.002209082245826721
34,2012-03-28,-0.550044097006321
35,2012-03-29,0.5138738652070364
36,2012-03-30,-0.04239778593182564
37,2012-04-03,-0.9006935358047485
38,2012-04-04,0.04253876954317093
39,2012-04-05,0.33211706671863794
40,2012-04-09,-0.007996949553489684
41,2012-04-10,0.4518203102052212
42,2012-04-12,0.1691648910442988
43,2012-04-13,0.0411188080906868
44,2012-04-14,0.07274977117776871
45,2012-04-16,0.2090170979499817
46,2012-04-18,0.1698659561574459
47,2012-04-19,0.2782130241394043
48,2012-04-20,0.58369380235672
49,2012-04-23,0.13558699483317987
50,2012-04-24,-0.9183248579502106
51,2012-04-25,-0.023246709257364273
52,2012-04-26,0.12597615271806717
53,2012-04-27,-0.6596768349409103
54,2012-04-30,0.44602131843566895
55,2012-05-01,0.37461029551923275
56,2012-05-02,-0.025262832641601562
57,2012-05-03,0.1569617547094822
58,2012-05-04,0.2211759416386485
59,2012-05-06,-0.13823917508125305
60,2012-05-07,0.24212784273549914
61,2012-05-09,0.3873199373483658
62,2012-05-10,-0.663412556052208
63,2012-05-11,0.10083486065268517
64,2012-05-14,0.23824271582998335
65,2012-05-15,0.14468043049176535
66,2012-05-16,0.3859701693058014
67,2012-05-17,0.19055335829034448
68,2012-05-18,-0.12493486363779414
69,2012-05-19,-0.9013974666595459
70,2012-05-20,0.4055021405220032
71,2012-05-21,-0.35428280228128034
72,2012-05-22,-0.32556872703135015
73,2012-05-23,-0.17285927943885326
74,2012-05-24,0.06947171315550804
75,2012-05-25,0.44816624745726585
76,2012-05-26,-0.9669756293296814
77,2012-05-27,0.047807060182094574
78,2012-05-28,-0.12056253850460052
79,2012-05-29,-0.07321510215600331
80,2012-05-30,0.3973614275455475
81,2012-05-31,-0.31680716276168824
82,2012-06-01,-0.052842365205287935
83,2012-06-02,-0.9210641384124756
84,2012-06-04,-0.1546748216663088
85,2012-06-05,-0.435421054251492
86,2012-06-06,0.21745404849449793
87,2012-06-08,-0.1807649793724219
88,2012-06-11,-0.06621602612237136
89,2012-06-12,-0.8129461109638214
90,2012-06-13,-0.2094995230436325
91,2012-06-14,0.04518429785966873
92,2012-06-15,-0.06266220808029174
93,2012-06-17,0.7002041339874268
94,2012-06-18,0.5012267611920833
95,2012-06-19,0.35318216122686863
96,2012-06-20,-0.19256006615857282
97,2012-06-21,0.13617466297000647
98,2012-06-22,0.42470595240592957
99,2012-06-24,0.01615234650671482
100,2012-06-25,0.06157602369785309
101,2012-06-26,0.4825722724199295
102,2012-06-27,0.2030934045712153
103,2012-06-28,-0.013054365913073221
104,2012-06-29,-0.4383348822593689
105,2012-07-02,-0.39394994359463453
106,2012-07-03,0.0842774969836076
107,2012-07-05,0.7473660111427307
108,2012-07-06,0.46847669035196304
109,2012-07-09,-0.28280249424278736
110,2012-07-10,-0.33890005946159363
111,2012-07-11,0.03924449533224106
112,2012-07-16,0.21908970922231674
113,2012-07-17,-0.3133047819137573
114,2012-07-18,-0.967287540435791
115,2012-07-19,-0.009938467293977737
116,2012-07-20,0.07041049003601074
117,2012-07-22,0.9194873571395874
118,2012-07-23,-0.9265080094337463
119,2012-07-25,-0.2825955847899119
120,2012-07-26,0.032043968637784324
121,2012-07-27,0.028157611687978108
122,2012-07-28,0.10467629134654999
123,2012-07-29,0.1834179013967514
124,2012-07-31,0.04095004995663961
125,2012-08-01,-0.14516829550266266
126,2012-08-02,-0.4076702371239662
127,2012-08-03,0.2651035115122795
128,2012-08-04,-0.44778674840927124
129,2012-08-06,-0.9700785279273987
130,2012-08-07,0.09521528333425522
131,2012-08-08,-0.2634979784488678
132,2012-08-10,0.3551922277547419
133,2012-08-13,-0.9126322269439697
134,2012-08-14,-0.11422301332155864
135,2012-08-15,-0.10381551211078961
136,2012-08-16,-0.4180395184084773
137,2012-08-17,-0.018907718360424042
138,2012-08-19,-0.4669028865173459
139,2012-08-20,0.5440605827607214
140,2012-08-21,0.09966753423213959
141,2012-08-22,0.4230847656726837
142,2012-08-23,0.16117947548627853
143,2012-08-24,-0.3167448043823242
144,2012-08-27,0.29761310666799545
145,2012-08-28,0.08875246345996857
146,2012-08-29,0.567155122756958
147,2012-08-30,0.8949281573295593
148,2012-08-31,0.004363268613815308
149,2012-09-04,-0.005115905404090881
150,2012-09-05,-0.7932965755462646
